         1065921822 function calls (1065585182 primitive calls) in 2089.782 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36116    0.051    0.000    0.090    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:290(_acquire_restore)
    40798    0.049    0.000    0.049    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\functools.py:65(wraps)
   159446    0.044    0.000    0.044    0.000 {built-in method builtins.setattr}
      406    0.043    0.000    7.844    0.019 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:332(update_tree)
     6825    0.041    0.000    0.105    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:133(get_non_pydevd_threads)
    53212    0.040    0.000    0.061    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:278(__enter__)
    26678    0.039    0.000    0.051    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\teacher.py:286(__get_distance)
     6825    0.037    0.000    0.156    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1381(has_user_threads_alive)
    41208    0.035    0.000    0.035    0.000 {method 'update' of 'dict' objects}
    36116    0.035    0.000    0.063    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:293(_is_owned)
     6825    0.033    0.000    0.232    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:250(can_exit)
    80510    0.028    0.000    0.028    0.000 {method '__exit__' of '_thread.lock' objects}
     6824    0.028    0.000    0.032    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1626(notify_thread_created)
    60649    0.027    0.000    0.027    0.000 {built-in method time.monotonic}
    36116    0.026    0.000    0.026    0.000 {method 'remove' of 'collections.deque' objects}
    36116    0.026    0.000    0.037    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:287(_release_save)
    53212    0.021    0.000    0.021    0.000 {method '__enter__' of '_thread.lock' objects}
    13648    0.018    0.000    0.029    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1499(get_internal_queue)
      176    0.015    0.000    4.902    0.028 C:\AmherstPrograms\SURF2024\PygamePractice\direction_teacher.py:67(equivalent)
     6825    0.015    0.000    0.029    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\queue.py:97(empty)
    13649    0.014    0.000    0.014    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1533(check_output_redirect)
      234    0.013    0.000    5.822    0.025 C:\AmherstPrograms\SURF2024\PygamePractice\movement_teacher.py:95(equivalent)
    13702    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     6825    0.012    0.000    0.041    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:416(empty)
    36116    0.011    0.000    0.011    0.000 {method 'release' of '_thread.lock' objects}
    36116    0.011    0.000    0.011    0.000 {method 'append' of 'collections.deque' objects}
    13684    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
     6824    0.010    0.000    0.014    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:1463(current_thread)
     6824    0.010    0.000    0.020    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:606(clear)
      406    0.009    0.000    0.067    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:296(__get_lca)
     6824    0.007    0.000    0.007    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:32(py_db)
        2    0.006    0.003    0.084    0.042 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:1166(__init__)
        2    0.006    0.003    0.099    0.049 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:575(print_tree)
    13653    0.006    0.000    0.006    0.000 {method '__exit__' of '_thread.RLock' objects}
    13649    0.005    0.000    0.005    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py:9(is_thread_alive)
     6825    0.005    0.000    0.005    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\threading.py:1213(daemon)
     6824    0.005    0.000    0.005    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:626(get_thread_id)
        2    0.005    0.002    0.020    0.010 C:\AmherstPrograms\SURF2024\PygamePractice\solver.py:25(__write_dfa_to_file)
     6824    0.004    0.000    0.004    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:606(get_current_thread_id)
     6828    0.004    0.000    0.004    0.000 {built-in method _thread.get_ident}
        1    0.003    0.003    0.003    0.003 {built-in method _imp.create_dynamic}
     6824    0.002    0.000    0.002    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:660(__enter__)
     6824    0.002    0.000    0.002    0.000 c:\Users\amkli\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:663(__exit__)
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
        2    0.001    0.000    0.086    0.043 C:\AmherstPrograms\SURF2024\PygamePractice\teacher.py:26(__init__)
      410    0.001    0.000    0.002    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:218(update_dictionary)
      472    0.001    0.000    0.001    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:27(__init__)
      818    0.001    0.000    0.001    0.000 {built-in method time.time}
        8    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      818    0.001    0.000    0.001    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:539(__init__)
      400    0.001    0.000    0.001    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\solver.py:11(__read_line)
        2    0.001    0.000    0.005    0.003 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:139(init_t_m_hat)
      822    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      112    0.000    0.000    0.001    0.000 C:\AmherstPrograms\SURF2024\PygamePractice\hex_v2.py:903(make_wall)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.003    0.003 {built-in method builtins.exec}
        2    0.000    0.000    0.143    0.072 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:86(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
        4    0.000    0.000    0.001    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:700(realpath)
        7    0.000    0.000    0.000    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:107(join)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      2/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1343(_find_and_load)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
        4    0.000    0.000    0.000    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:236(split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
       18    0.000    0.000    0.000    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:179(splitroot)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:905(_load_unlocked)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        4    0.000    0.000    0.000    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:275(dirname)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:988(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        8    0.000    0.000    0.000    0.000 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:51(normcase)
        2    0.000    0.000    0.099    0.049 C:\AmherstPrograms\SURF2024\PygamePractice\learner.py:235(lstar_algorithm)
        1    0.000    0.000    0.003    0.003 c:\Users\amkli\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\freetype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1286(create_module)
