         -775679987 function calls (-775702059 primitive calls) in 3239.004 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 67509012 2435.870    0.000 2989.913    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:858(__init__)
    40427    0.016    0.000    0.031    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7180    0.016    0.000    0.028    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:273(__get_distance_and_direction)
    38716    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
     4838    0.012    0.000    0.054    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:16(memoize)
     2574    0.012    0.000    0.027    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:108(final_state)
22203/137    0.012    0.000    0.012    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:569(size)
    40427    0.009    0.000    0.015    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py:18(encode)
        3    0.008    0.003    0.008    0.003 {built-in method _io.open}
     9506    0.007    0.000    0.010    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:251(__get_distance)
        2    0.007    0.003 3238.062 1619.031 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:235(lstar_algorithm)
    40427    0.006    0.000    0.006    0.000 {built-in method _codecs.charmap_encode}
      135    0.006    0.000   15.910    0.118 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:332(update_tree)
       93    0.005    0.000   19.599    0.211 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:102(equivalent)
    19350    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
     4838    0.003    0.000    0.003    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\functools.py:65(wraps)
     4977    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
       46    0.003    0.000   12.070    0.262 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\direction_teacher.py:72(equivalent)
        2    0.001    0.000    0.009    0.004 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:580(print_tree)
      135    0.001    0.000    0.010    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:296(__get_lca)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
     1202    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      274    0.000    0.000    0.000    0.000 {built-in method time.time}
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      139    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:218(update_dictionary)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      144    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\solver.py:10(__read_line)
        2    0.000    0.000    0.877    0.438 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:139(init_t_m_hat)
      276    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:544(__init__)
      280    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.877    0.438 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:86(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      2/1    0.000    0.000    0.067    0.067 <frozen importlib._bootstrap>:1349(_find_and_load)
