         74888726 function calls (74872672 primitive calls) in 55.018 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.002    0.000    1.376    0.020 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\movement_teacher.py:95(equivalent)
       55    0.002    0.000    1.420    0.026 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\direction_teacher.py:67(equivalent)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
        3    0.002    0.001    0.002    0.001 {built-in method _io.open}
        2    0.001    0.000    0.009    0.005 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:580(print_tree)
        2    0.001    0.000    0.529    0.265 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:1176(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open_code}
      120    0.001    0.000    0.008    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:296(__get_lca)
        8    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      456    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:27(__init__)
        2    0.000    0.000    0.530    0.265 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\teacher.py:13(__init__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      244    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.004    0.002 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:139(init_t_m_hat)
      124    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:218(update_dictionary)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      112    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\hex_v2.py:913(make_wall)
        2    0.000    0.000    0.534    0.267 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:86(__init__)
      144    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\solver.py:10(__read_line)
      246    0.000    0.000    0.000    0.000 C:\Users\skyle\OneDrive\Documents\GitHub\HexSimulator\learner.py:544(__init__)
      250    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        4    0.000    0.000    0.001    0.000 <frozen ntpath>:692(realpath)
       18    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        7    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.000    0.000 C:\Users\skyle\AppData\Local\Programs\Python\Python312\Lib\cProfile.py:119(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
