-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1275930    0.284    0.000    0.284    0.000 {method 'keys' of 'dict' objects}
   507980    0.283    0.000    0.283    0.000 {built-in method builtins.min}
     2485    0.002    0.000    0.277    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2506    0.276    0.000    0.276    0.000 {built-in method nt.stat}
   121674    0.127    0.000    0.276    0.000 <frozen ntpath>:564(normpath)
     4176    0.020    0.000    0.261    0.000 artist.py:1467(get_valid_values)
1098861/1098857    0.235    0.000    0.235    0.000 {built-in method nt.fspath}
   121760    0.096    0.000    0.223    0.000 <frozen ntpath>:35(_get_bothseps)
     7217    0.113    0.000    0.212    0.000 inspect.py:879(cleandoc)
      617    0.197    0.000    0.197    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.195    0.195 contour.py:1(<module>)
        1    0.000    0.000    0.186    0.186 backend_bases.py:1(<module>)
   558167    0.185    0.000    0.185    0.000 {method 'values' of 'dict' objects}
     7155    0.009    0.000    0.182    0.000 inspect.py:860(getdoc)
   112050    0.090    0.000    0.177    0.000 {built-in method builtins.next}
      860    0.001    0.000    0.167    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      798    0.001    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.162    0.162 rcsetup.py:1(<module>)
        1    0.000    0.000    0.150    0.150 _axes.py:1(<module>)
        2    0.000    0.000    0.142    0.071 text.py:1(<module>)
   334632    0.138    0.000    0.138    0.000 hex_v2.py:74(__get_neighbor)
        9    0.000    0.000    0.136    0.015 _base.py:731(__init_subclass__)
   121909    0.109    0.000    0.126    0.000 make_alphabet.py:1(check_validity)
      219    0.001    0.000    0.117    0.001 artist.py:1419(__init__)
      219    0.040    0.000    0.115    0.001 artist.py:1439(get_aliases)
      617    0.114    0.000    0.114    0.000 {built-in method _io.open_code}
   121674    0.108    0.000    0.108    0.000 {built-in method nt._path_normpath}
   794600    0.098    0.000    0.098    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.096    0.096 axes3d.py:1(<module>)
   139066    0.095    0.000    0.095    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.093    0.093 random.py:1(<module>)
        1    0.000    0.000    0.092    0.092 colors.py:1(<module>)
        1    0.000    0.000    0.089    0.089 hashlib.py:1(<module>)
        2    0.021    0.010    0.083    0.042 solver.py:38(__write_dfa_to_file)
        1    0.000    0.000    0.082    0.082 geo.py:1(<module>)
        1    0.000    0.000    0.081    0.081 _base.py:1(<module>)
        1    0.000    0.000    0.079    0.079 collections.py:1(<module>)
      219    0.026    0.000    0.078    0.000 artist.py:1517(get_setters)
      617    0.007    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
   505192    0.070    0.000    0.070    0.000 {method 'getrandbits' of '_random.Random' objects}
        4    0.001    0.000    0.068    0.017 core.py:1(<module>)
     6838    0.008    0.000    0.067    0.000 __init__.py:280(_compile)
      617    0.067    0.000    0.067    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.062    0.062 art3d.py:1(<module>)
     5602    0.005    0.000    0.062    0.000 __init__.py:174(search)
        1    0.000    0.000    0.062    0.062 backends.py:1(<module>)
        1    0.000    0.000    0.059    0.059 polar.py:1(<module>)
        1    0.000    0.000    0.058    0.058 patches.py:1(<module>)
     4613    0.036    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       30    0.008    0.000    0.055    0.002 __init__.py:864(_rc_params_in_file)
        1    0.000    0.000    0.054    0.054 _fontconfig_pattern.py:1(<module>)
      222    0.001    0.000    0.054    0.000 _compiler.py:738(compile)
      136    0.001    0.000    0.050    0.000 _docstring.py:66(__call__)
  126/115    0.000    0.000    0.049    0.000 _docstring.py:107(__call__)
   263590    0.049    0.000    0.049    0.000 {built-in method builtins.hex}
        1    0.000    0.000    0.047    0.047 Image.py:1(<module>)
        1    0.001    0.001    0.047    0.047 _axes.py:65(Axes)
    35628    0.026    0.000    0.045    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   264858    0.044    0.000    0.044    0.000 {method 'bit_length' of 'int' objects}
      706    0.001    0.000    0.043    0.000 inspect.py:3325(signature)
